precision;recall;f1-core;dropout capa 1;dropout capa 2;dropout capa 3;dropout capa 4;batch size;epoch;Regularizacion;learning rate
0.48;0.46;0.46;0.1;0.1;0.2;0.5;64;20;0;0.001
0.41;0.38;0.37;0.1;0.1;0.2;0.3;32;20;0;0.001
0.49;0.47;0.46;0.1;0.1;0.2;0.5;32;20;0;0.001
0.47;0.45;0.45;0.1;0.1;0.2;0.5;16;20;0;0.001
0.4;0.36;0.35;0.1;0.1;0.2;0.5;8;25;0;0.001
0.51;0.49;0.48;0.1;0.1;0.2;0.55;32;25;0;0.001
0.49;0.47;0.47;0.1;0.1;0.2;0.5;32;20;0;0.001
0.49;0.47;0.47;0.1;0.1;0.2;0.3;64;20;0;0.001
0.46;0.44;0.44;0.1;0.1;0.2;0.6;32;30;0;0.001
0.48;0.46;0.46;0.1;0.1;0.2;0.6;32;20;0;0.001
0.44;0.41;0.41;0.1;0.1;0.2;0.55;32;20;0;0.001
0.46;0.41;0.42;0.1;0.1;0.2;0.55;32;32;0;0.001
0.44;0.43;0.43;0.1;0.1;0.2;0.55;32;25;0;0.001
0.47;0.45;0.45;0.1;0.1;0.2;0.55;64;25;0;0.001
0.44;0.42;0.41;0.1;0.1;0.2;0.3;64;25;0;0.001
0.46;0.4;0.4;0.1;0.1;0.2;0.25;64;20;0;0.001
0.4;0.35;0.34;0.1;0.1;0.2;0.25;16;20;0;0.001
0.45;0.4;0.41;0.1;0.1;0.2;0.55;16;25;0;0.001
0.46;0.45;0.45;0.1;0.1;0.2;0.55;16;20;0;0.001
0.48;0.46;0.46;0.1;0.1;0.2;0.55;64;20;0;0.001
0.47;0.39;0.4;0.1;0.1;0.2;0.55;128;25;0;0.001
0.47;0.38;0.39;0.1;0.1;0.2;0.25;128;25;0;0.001
0.44;0.34;0.35;0.2;0;0;0.3;64;25;0.01;0.001
0.5;0.42;0.43;0.25;0.15;0.3;0.4;32;20;0.001;0.001
0.49;0.45;0.45;0;0;0.2;0.55;64;25;0.001;0.001
0.52;0.37;0.39;0;0;0.2;0.55;64;50;0.001;0.001
0.46;0.31;0.32;0;0;0;0.55;32;50;0.001;0.001
0.58;0.22;0.22;0.1;0.1;0.2;0.5;128;20;0.01;0.001
0.61;0.12;0.12;0.1;0.1;0.2;0.5;128;20;0.001;0.001
0.51;0.35;0.36;0.1;0.1;0.2;0.5;128;20;0.0001;0.001
0.5;0.35;0.36;0.1;0.1;0.2;0.5;128;40;0.0001;0.001
0.52;0.46;0.47;0.1;0.1;0.2;0.5;128;35;0.0001;0.001
0.52;0.49;0.49;0.1;0.1;0.2;0.55;128;30;0.0001;0.001
0.5;0.43;0.42;0.1;0.1;0.2;0.55;128;32;0.0001;0.001
0.5;0.45;0.45;0;0;0.2;0.55;128;30;0.0001;0.001
0.5;0.36;0.37;0;0;0.2;0.55;128;25;0.0001;0.001
0.52;0.49;0.49;0.1;0.15;0.2;0.55;128;30;0.0001;0.001
0.51;0.48;0.48;0.1;0.1;0.2;0.4;128;30;0.0001;0.001
0.49;0.42;0.43;0.1;0.1;0.2;0.4;128;25;0.0001;0.001
0.5;0.44;0.45;0.1;0.15;0.25;0.5;128;30;0.0001;0.001
0.5;0.48;0.47;0.1;0.1;0.15;0.55;128;30;0.0001;0.001
0.5;0.46;0.47;0;0.15;0.2;0.55;128;30;0.0001;0.001
0.52;0.45;0.46;0.1;0.1;0.2;0.55;128;33;0.0001;0.001
0.51;0.47;0.47;0.1;0.1;0.2;0.55;128;30;0.0001;0.001
0.52;0.48;0.48;0.1;0.15;0.25;0.55;128;30;0.0001;0.001
0.5;0.48;0.47;0.25;0.25;0.25;0.55;128;30;0.0001;0.001
0.54;0.5;0.51;0.05;0.1;0.2;0.55;128;30;0.0001;0.001
0.47;0.43;0.42;0.05;0.05;0.1;0.55;128;30;0.0001;0.001
0.51;0.38;0.41;0.05;0.05;0.1;0.55;128;30;0.0001;0.0001
0.48;0.46;0.46;0.05;0.05;0.1;0.55;128;30;0.0001;0.001
0.53;0.41;0.42;0.05;0.1;0.15;0.55;256;50;0.0001;0.001
0.53;0.38;0.4;0.05;0.1;0.15;0.55;256;50;0.001;0.001
0.81;0.03;0.01;0.05;0.1;0.15;0.55;256;30;0.0001;0.001
0.85;0.03;0;0.05;0.1;0.25;0.55;256;30;0.0001;0.001
0.5;0.49;0.49;0.05;0.1;0.25;0.55;128;30;0.0001;0.001
0.49;0.47;0.47;0.05;0.15;0.25;0.55;128;30;0.0001;0.001
0.54;0.41;0.42;0.05;0.15;0.25;0.55;128;30;0.0001;0.0001
0.41;0.38;0.37;0.05;0.15;0.25;0.55;128;30;0.0001;0.01
0.53;0.49;0.49;0.05;0.15;0.2;0.55;128;30;0.0001;0.001
0.51;0.49;0.49;0.05;0.15;0.2;0.55;128;30;0.0001;0.001
0.49;0.48;0.48;0.05;0.15;0.15;0.55;128;30;0.0001;0.001
0.5;0.47;0.48;0.05;0.1;0.1;0.55;128;30;0.0001;0.001
0.51;0.49;0.49;0.05;0.05;0.1;0.55;128;30;0.0001;0.001
0.5;0.46;0.47;0.05;0.07;0.2;0.55;128;30;0.0001;0.001
0.51;0.5;0.49;0.05;0.1;0.25;0.55;128;30;0.0001;0.001
0.5;0.48;0.47;0.05;0.15;0.25;0.55;128;30;0.0001;0.001
0.51;0.47;0.47;0.01;0.1;0.2;0.55;128;30;0.0001;0.001
0.5;0.46;0.46;0.07;0.1;0.2;0.55;128;30;0.0001;0.001
0.52;0.49;0.49;0.055;0.1;0.2;0.55;128;30;0.0001;0.001
0.52;0.49;0.49;0.05;0.1;0.2;0.55;128;30;0.0001;0.001
0.5;0.46;0.46;0.05;0.1;0.2;0.55;128;30;0.0001;0.003
0.51;0.48;0.48;0.05;0.1;0.2;0.55;128;30;0.0001;0.00055
0.48;0.46;0.46;0.05;0.1;0.2;0.55;128;26;0.0001;0.001
0.48;0.45;0.45;0.05;0.1;0.2;0.55;128;35;0.0001;0.001
0.51;0.48;0.48;0.05;0.1;0.2;0.55;128;30;0.0001;0.001
0.52;0.5;0.5;0.05;0.1;0.2;0.5;128;30;0.0001;0.001
0.51;0.48;0.48;0.05;0.1;0.2;0.45;128;30;0.0001;0.001
0.49;0.48;0.47;0.05;0.1;0.2;0.55;128;30;0.0001;0.001
0.52;0.49;0.49;0.05;0.1;0.2;0.5;128;30;0.0001;0.001
